Port: 1099, Service: java-rmi, Version: GNU Classpath grmiregistry 
Port: 111, Service: rpcbind, Version:  2
Port: 139, Service: netbios-ssn, Version: Samba smbd 3.X - 4.X
Port: 1524, Service: bindshell, Version: Metasploitable root shell 
Port: 2049, Service: nfs, Version:  2-4
Port: 2121, Service: ftp, Version: ProFTPD 1.3.1
Port: 21, Service: ftp, Version: vsftpd 2.3.4
Port: 22, Service: ssh, Version: OpenSSH 4.7p1 Debian 8ubuntu1
Port: 23, Service: telnet, Version: Linux telnetd 
Port: 25, Service: smtp, Version: Postfix smtpd 
Port: 3306, Service: mysql, Version: MySQL 5.0.51a-3ubuntu5
Port: 445, Service: netbios-ssn, Version: Samba smbd 3.X - 4.X
Port: 512, Service: exec, Version: netkit-rsh rexecd 
Port: 513, Service: login, Version:  
Port: 514, Service: shell, Version: Netkit rshd 
Port: 53, Service: domain, Version: ISC BIND 9.4.2
Port: 5432, Service: postgresql, Version: PostgreSQL DB 8.3.0 - 8.3.7
Port: 5900, Service: vnc, Version: VNC 
Port: 6000, Service: X11, Version:  
Port: 6667, Service: irc, Version: UnrealIRCd 
Port: 8009, Service: ajp13, Version: Apache Jserv 
Port: 80, Service: http, Version: Apache httpd 2.2.8
Port: 8180, Service: http, Version: Apache Tomcat/Coyote JSP engine 1.1
